date,store_id,item_id,sales
2022-01-01,1,101,195
2022-01-02,1,101,212
2022-01-03,1,101,189
2022-01-04,1,101,212
2022-01-05,1,101,226
2022-01-06,1,101,198
2022-01-07,1,101,207
2022-01-08,1,101,213
2022-01-09,1,101,223
2022-01-10,1,101,210
2022-01-11,1,101,217
2022-01-12,1,101,205
2022-01-13,1,101,223
2022-01-14,1,101,223
2022-01-15,1,101,210
2022-01-16,1,101,224
2022-01-17,1,101,196
2022-01-18,1,101,202
2022-01-19,1,101,202
2022-01-20,1,101,210
2022-01-21,1,101,233
2022-01-22,1,101,206
2022-01-23,1,101,176
2022-01-24,1,101,163
2022-01-25,1,101,189
2022-01-26,1,101,206
2022-01-27,1,101,180
2022-01-28,1,101,168
2022-01-29,1,101,196
2022-01-30,1,101,192
2022-01-31,1,101,193
2022-02-01,1,101,174
2022-02-02,1,101,198
2022-02-03,1,101,173
2022-02-04,1,101,172
2022-02-05,1,101,190
2022-02-06,1,101,201
2022-02-07,1,101,164
2022-02-08,1,101,195
2022-02-09,1,101,198
2022-02-10,1,101,190
2022-02-11,1,101,183
2022-02-12,1,101,216
2022-02-13,1,101,193
2022-02-14,1,101,188
2022-02-15,1,101,193
2022-02-16,1,101,231
2022-02-17,1,101,213
2022-02-18,1,101,224
2022-02-19,1,101,234
2022-02-20,1,101,207
2022-02-21,1,101,204
2022-02-22,1,101,215
2022-02-23,1,101,200
2022-02-24,1,101,248
2022-02-25,1,101,220
2022-02-26,1,101,213
2022-02-27,1,101,257
2022-02-28,1,101,218
2022-03-01,1,101,207
2022-03-02,1,101,219
2022-03-03,1,101,182
2022-03-04,1,101,233
2022-03-05,1,101,191
2022-03-06,1,101,212
2022-03-07,1,101,190
2022-03-08,1,101,193
2022-03-09,1,101,202
2022-03-10,1,101,171
2022-03-11,1,101,183
2022-03-12,1,101,196
2022-03-13,1,101,186
2022-03-14,1,101,190
2022-03-15,1,101,191
2022-03-16,1,101,209
2022-03-17,1,101,173
2022-03-18,1,101,205
2022-03-19,1,101,169
2022-03-20,1,101,195
2022-03-21,1,101,181
2022-03-22,1,101,159
2022-03-23,1,101,204
2022-03-24,1,101,177
2022-03-25,1,101,206
2022-03-26,1,101,195
2022-03-27,1,101,175
2022-03-28,1,101,198
2022-03-29,1,101,176
2022-03-30,1,101,202
2022-03-31,1,101,208
2022-04-01,1,101,214
2022-04-02,1,101,201
2022-04-03,1,101,216
2022-04-04,1,101,220
2022-04-05,1,101,193
2022-04-06,1,101,206
2022-04-07,1,101,239
2022-04-08,1,101,232
2022-04-09,1,101,222
2022-04-10,1,101,205
2022-04-11,1,101,210
2022-04-12,1,101,225
2022-04-13,1,101,241
2022-04-14,1,101,213
2022-04-15,1,101,206
2022-04-16,1,101,230
2022-04-17,1,101,194
2022-04-18,1,101,236
2022-04-19,1,101,208
2022-04-20,1,101,184
2022-04-21,1,101,218
2022-04-22,1,101,205
2022-04-23,1,101,188
2022-04-24,1,101,205
2022-04-25,1,101,189
2022-04-26,1,101,199
2022-04-27,1,101,192
2022-04-28,1,101,203
2022-04-29,1,101,176
2022-04-30,1,101,183
2022-05-01,1,101,179
2022-05-02,1,101,171
2022-05-03,1,101,136
2022-05-04,1,101,195
2022-05-05,1,101,162
2022-05-06,1,101,195
2022-05-07,1,101,189
2022-05-08,1,101,156
2022-05-09,1,101,191
2022-05-10,1,101,192
2022-05-11,1,101,207
2022-05-12,1,101,194
2022-05-13,1,101,216
2022-05-14,1,101,198
2022-05-15,1,101,189
2022-05-16,1,101,210
2022-05-17,1,101,217
2022-05-18,1,101,215
2022-05-19,1,101,212
2022-05-20,1,101,210
2022-05-21,1,101,184
2022-05-22,1,101,236
2022-05-23,1,101,218
2022-05-24,1,101,219
2022-05-25,1,101,204
2022-05-26,1,101,215
2022-05-27,1,101,224
2022-05-28,1,101,211
2022-05-29,1,101,215
2022-05-30,1,101,219
2022-05-31,1,101,184
2022-06-01,1,101,237
2022-06-02,1,101,200
2022-06-03,1,101,200
2022-06-04,1,101,228
2022-06-05,1,101,182
2022-06-06,1,101,173
2022-06-07,1,101,169
2022-06-08,1,101,163
2022-06-09,1,101,202
2022-06-10,1,101,198
2022-06-11,1,101,163
2022-06-12,1,101,186
2022-06-13,1,101,190
2022-06-14,1,101,171
2022-06-15,1,101,191
2022-06-16,1,101,175
2022-06-17,1,101,173
2022-06-18,1,101,198
2022-06-19,1,101,194
2022-06-20,1,101,164
2022-06-21,1,101,187
2022-06-22,1,101,181
2022-06-23,1,101,186
2022-06-24,1,101,216
2022-06-25,1,101,189
2022-06-26,1,101,232
2022-06-27,1,101,208
2022-06-28,1,101,196
2022-06-29,1,101,215
2022-06-30,1,101,223
2022-07-01,1,101,190
2022-07-02,1,101,186
2022-07-03,1,101,214
2022-07-04,1,101,212
2022-07-05,1,101,202
2022-07-06,1,101,224
2022-07-07,1,101,195
2022-07-08,1,101,193
2022-07-09,1,101,228
2022-07-10,1,101,213
2022-07-11,1,101,211
2022-07-12,1,101,226
2022-07-13,1,101,209
2022-07-14,1,101,190
2022-07-15,1,101,178
2022-07-16,1,101,185
2022-07-17,1,101,213
2022-07-18,1,101,237
2022-07-19,1,101,187
